"year","BB","HBP","SO","X1B","X2B","X3B","HR","Outs","total_pas","ba","obp","slg","ops","woba","batter_id"
2019,15,2,78,15,6,1,4,159,202,0.141,0.213,0.249,0.462,0.205,572008
2019,0,1,4,2,0,0,1,18,22,0.143,0.182,0.286,0.468,0.2,643524
2019,70,10,185,74,33,1,49,446,683,0.26,0.347,0.562,0.909,0.376,624585
2019,47,20,102,103,31,1,13,418,633,0.261,0.34,0.389,0.729,0.317,460086
2019,56,1,164,74,22,1,24,366,544,0.248,0.327,0.446,0.773,0.328,641857
2019,47,8,77,54,24,2,20,364,519,0.216,0.299,0.405,0.704,0.301,595777
2019,21,0,132,71,20,10,9,317,448,0.258,0.292,0.415,0.707,0.298,609275
2019,44,12,138,67,26,0,36,355,540,0.267,0.343,0.543,0.886,0.368,621566
2019,34,2,120,60,32,4,20,335,487,0.257,0.312,0.479,0.791,0.331,435622
2019,40,5,126,140,41,10,16,481,733,0.301,0.344,0.459,0.803,0.34,593160
2019,20,5,88,48,21,0,13,263,370,0.238,0.289,0.412,0.701,0.297,640461
2019,31,0,88,53,15,2,0,257,358,0.214,0.282,0.272,0.554,0.248,571740
2019,45,3,146,72,11,0,23,377,531,0.219,0.29,0.385,0.675,0.29,501981
2019,29,4,111,67,28,5,15,269,417,0.299,0.355,0.516,0.871,0.365,621311
2019,13,1,40,17,16,0,7,133,187,0.231,0.289,0.445,0.734,0.308,592387
2019,30,3,84,58,17,1,13,272,394,0.247,0.31,0.407,0.717,0.306,572039
2019,61,7,175,95,38,5,35,422,663,0.291,0.363,0.548,0.911,0.379,596115
2019,12,3,29,20,7,0,3,100,145,0.231,0.31,0.354,0.664,0.291,595956
2019,53,4,93,112,31,2,42,411,655,0.313,0.373,0.582,0.955,0.396,571448
2019,55,3,149,81,30,10,27,384,590,0.278,0.349,0.524,0.873,0.364,641531
2019,73,11,147,70,36,3,36,441,670,0.247,0.342,0.503,0.845,0.354,656305
2019,17,1,55,16,10,0,7,116,167,0.221,0.305,0.43,0.735,0.312,455104
2019,46,4,93,85,12,0,22,313,482,0.275,0.351,0.456,0.807,0.344,553882
2019,27,11,123,72,29,0,24,318,481,0.282,0.339,0.51,0.849,0.356,657656
2019,31,2,78,73,35,1,14,326,482,0.274,0.324,0.45,0.774,0.327,502517
2019,22,2,59,12,8,0,4,118,166,0.169,0.289,0.31,0.599,0.268,448602
2019,40,9,104,102,42,7,32,405,637,0.311,0.364,0.57,0.934,0.387,453568
2019,6,2,29,16,7,1,2,119,153,0.179,0.222,0.283,0.505,0.218,543281
2019,0,0,0,0,2,0,0,1,3,0.667,0.667,1.333,2,0.811,455755
2019,63,6,129,95,21,2,33,442,662,0.255,0.332,0.464,0.796,0.337,592518
2019,2,1,18,8,3,1,2,56,73,0.2,0.233,0.357,0.59,0.248,460026
2019,1,0,5,3,0,0,0,15,19,0.167,0.211,0.167,0.378,0.174,628711
2019,27,6,95,37,19,3,11,234,337,0.23,0.306,0.421,0.727,0.309,592444
2019,9,11,40,23,5,0,4,99,151,0.244,0.344,0.374,0.718,0.318,527049
