"year","BB","HBP","SO","X1B","X2B","X3B","HR","Outs","total_pas","ba","obp","slg","ops","woba","batter"
2022,67,8,132,78,25,2,36,450,666,0.239,0.324,0.47,0.794,0.346,572233
2022,36,4,114,65,30,3,12,335,485,0.247,0.309,0.409,0.718,0.315,444482
2022,17,2,50,47,8,0,2,171,247,0.25,0.308,0.311,0.619,0.279,622110
2022,72,4,170,70,44,0,34,472,696,0.239,0.322,0.474,0.796,0.345,621566
2022,33,16,99,94,25,1,14,400,583,0.251,0.314,0.38,0.694,0.308,571657
2022,32,2,157,64,17,2,14,344,475,0.22,0.276,0.363,0.639,0.281,614177
2022,45,24,104,54,23,2,22,318,488,0.241,0.348,0.463,0.811,0.356,575929
2022,41,4,121,68,23,1,29,358,524,0.253,0.317,0.486,0.803,0.347,592669
2022,53,6,101,62,42,2,12,379,556,0.237,0.318,0.402,0.72,0.318,606466
2022,49,6,82,90,44,5,29,442,665,0.275,0.335,0.507,0.842,0.363,608070
2022,24,6,75,35,12,0,7,201,285,0.212,0.295,0.341,0.636,0.286,519058
2022,14,3,27,45,7,0,0,159,228,0.246,0.303,0.28,0.583,0.265,663611
2022,13,3,75,30,13,0,11,212,282,0.203,0.248,0.376,0.624,0.272,660636
2022,17,0,68,35,12,1,5,200,270,0.209,0.259,0.324,0.583,0.258,592696
2022,66,10,87,91,39,0,28,370,604,0.299,0.387,0.532,0.919,0.398,514888
2022,26,4,111,134,26,9,11,461,671,0.281,0.313,0.401,0.714,0.312,642708
2022,55,5,121,58,23,0,35,416,592,0.218,0.297,0.459,0.756,0.328,642133
2022,48,7,145,72,23,3,27,413,593,0.232,0.304,0.437,0.741,0.323,662139
2022,24,2,35,23,10,0,5,130,194,0.226,0.33,0.375,0.705,0.316,543685
2022,50,14,141,92,19,4,27,402,608,0.261,0.339,0.46,0.799,0.349,668804
2022,50,3,182,119,32,1,25,467,697,0.275,0.33,0.444,0.774,0.338,621020
2022,32,5,84,68,13,0,5,298,421,0.224,0.292,0.297,0.589,0.267,669222
2022,71,1,114,54,19,1,18,295,459,0.238,0.357,0.432,0.789,0.349,596129
2022,42,2,75,54,14,1,7,249,369,0.234,0.325,0.348,0.673,0.303,542364
2022,22,7,116,37,12,0,15,286,379,0.183,0.245,0.346,0.591,0.262,455117
2022,56,4,124,80,25,0,17,397,579,0.235,0.314,0.382,0.696,0.309,457705
2022,11,4,46,25,6,0,3,142,191,0.193,0.257,0.278,0.535,0.243,543510
2022,83,5,162,102,25,4,14,433,666,0.251,0.35,0.381,0.731,0.327,592885
2022,51,5,103,67,10,2,5,361,501,0.189,0.279,0.254,0.533,0.248,672695
2022,54,1,88,93,22,3,0,424,597,0.218,0.29,0.269,0.559,0.256,664702
2022,3,0,9,3,0,0,1,29,36,0.121,0.194,0.212,0.406,0.189,543105
2022,4,1,15,7,2,0,2,44,60,0.2,0.267,0.345,0.612,0.272,660829
2022,24,6,57,98,22,5,10,348,513,0.28,0.322,0.408,0.73,0.32,663538
2022,47,1,106,60,12,2,14,272,408,0.244,0.333,0.406,0.739,0.327,676801
2022,30,4,63,83,12,4,0,348,481,0.221,0.277,0.266,0.543,0.246,670032
2022,12,3,47,38,9,0,6,115,183,0.315,0.372,0.476,0.848,0.37,663886
2022,47,6,139,54,28,2,40,315,492,0.282,0.36,0.629,0.989,0.418,545361
2022,44,10,97,36,18,1,11,256,376,0.205,0.319,0.37,0.689,0.31,458015
2022,30,25,112,100,26,3,17,352,553,0.293,0.363,0.46,0.823,0.361,665926
2022,39,11,62,125,39,1,9,365,589,0.323,0.38,0.449,0.829,0.365,643446
2022,46,1,166,72,31,0,31,433,614,0.236,0.295,0.455,0.75,0.325,642715
2022,36,2,109,83,10,3,9,314,457,0.251,0.313,0.353,0.666,0.297,572191
2022,58,7,167,90,23,1,17,428,624,0.234,0.314,0.37,0.684,0.305,502054
2022,54,9,183,44,28,0,25,375,535,0.206,0.299,0.424,0.723,0.317,621550
2022,22,6,138,88,20,2,22,398,558,0.249,0.287,0.419,0.706,0.307,665161
2022,44,14,88,65,24,4,15,329,495,0.247,0.335,0.423,0.758,0.335,543939
2022,1,0,7,2,1,0,0,13,17,0.188,0.235,0.25,0.485,0.219,656403
2022,15,4,63,55,10,3,5,222,314,0.247,0.293,0.353,0.646,0.285,664056
2022,18,9,104,64,10,2,6,299,408,0.215,0.267,0.299,0.566,0.254,645302
2022,11,3,32,21,5,1,1,109,151,0.204,0.278,0.277,0.555,0.254,518792
2022,20,1,86,46,15,0,7,196,285,0.258,0.312,0.394,0.706,0.311,571976
2022,9,0,25,10,2,0,2,46,69,0.233,0.333,0.367,0.7,0.315,547379
2022,19,0,101,28,13,0,10,208,278,0.197,0.252,0.363,0.615,0.27,606157
2022,47,28,97,86,24,0,13,343,541,0.264,0.366,0.399,0.765,0.343,592192
2022,58,5,161,90,30,6,34,429,652,0.272,0.342,0.516,0.858,0.37,660271
2022,19,11,90,62,25,1,18,290,426,0.268,0.319,0.472,0.791,0.343,518595
2022,25,6,78,37,4,0,7,259,338,0.156,0.234,0.238,0.472,0.218,595978
2022,4,0,20,7,0,0,0,43,54,0.14,0.204,0.14,0.344,0.166,609275
2022,57,1,98,81,28,1,30,409,607,0.255,0.326,0.474,0.8,0.347,663656
2022,46,3,98,55,20,2,9,286,421,0.231,0.321,0.368,0.689,0.308,592325
2022,32,2,86,44,14,2,8,226,328,0.231,0.311,0.374,0.685,0.304,607054
2022,5,2,33,21,4,2,0,98,132,0.216,0.258,0.28,0.538,0.24,444876
2022,8,2,37,20,5,0,1,121,157,0.177,0.229,0.231,0.46,0.21,456715
2022,7,2,40,43,8,0,5,207,272,0.213,0.239,0.3,0.539,0.238,425877
2022,39,4,110,66,22,2,14,296,443,0.26,0.332,0.43,0.762,0.334,673548
2022,7,3,16,43,9,1,2,163,228,0.252,0.285,0.33,0.615,0.272,664058
2022,30,14,94,68,16,2,10,290,430,0.249,0.326,0.378,0.704,0.314,663697
2022,22,4,79,18,9,0,6,179,238,0.156,0.248,0.283,0.531,0.243,657557
2022,54,7,179,69,22,0,22,393,567,0.223,0.307,0.397,0.704,0.311,572228
2022,19,0,58,43,11,0,8,211,292,0.227,0.277,0.355,0.632,0.279,643524
2022,60,7,60,130,25,7,6,401,636,0.295,0.369,0.395,0.764,0.34,680757
2022,4,0,25,13,1,0,1,85,104,0.15,0.183,0.19,0.373,0.169,429664
2022,34,3,125,67,26,4,12,354,500,0.235,0.292,0.387,0.679,0.298,641531
2022,0,0,25,9,1,1,0,52,63,0.175,0.175,0.222,0.397,0.172,657061
2022,21,5,102,32,16,1,12,229,316,0.21,0.275,0.397,0.672,0.294,594807
2022,12,2,75,61,15,0,9,289,388,0.227,0.255,0.34,0.595,0.261,596748
2022,10,3,31,17,3,0,1,91,125,0.188,0.272,0.241,0.513,0.239,666179
2022,37,1,131,69,26,4,20,384,541,0.237,0.29,0.423,0.713,0.31,500871
2022,27,3,158,71,18,4,11,326,460,0.242,0.291,0.379,0.67,0.294,669016
2022,41,8,126,75,31,2,28,386,571,0.261,0.324,0.489,0.813,0.351,592273
2022,16,2,48,57,18,2,2,212,309,0.271,0.314,0.368,0.682,0.301,621028
2022,41,4,133,75,26,2,17,384,549,0.238,0.301,0.399,0.7,0.307,657041
2022,29,3,57,37,12,1,4,210,296,0.205,0.291,0.303,0.594,0.27,553882
2022,30,6,73,84,40,0,8,416,584,0.241,0.288,0.358,0.646,0.285,493329
2022,29,4,71,42,18,0,7,254,354,0.209,0.282,0.33,0.612,0.275,608348
2022,70,2,88,50,18,0,19,346,505,0.201,0.315,0.374,0.689,0.309,467793
2022,20,0,50,23,4,0,2,145,194,0.167,0.253,0.224,0.477,0.223,660294
2022,16,7,109,66,23,1,23,335,471,0.252,0.289,0.462,0.751,0.324,521692
2022,68,16,135,89,30,4,17,459,683,0.234,0.328,0.382,0.71,0.317,630105
2022,16,4,59,25,6,0,4,135,190,0.206,0.289,0.312,0.601,0.273,644374
2022,27,10,55,45,14,0,24,230,350,0.265,0.343,0.54,0.883,0.38,405395
2022,16,2,47,37,16,0,8,190,269,0.243,0.294,0.402,0.696,0.305,645277
2022,55,6,150,94,42,2,17,423,639,0.268,0.338,0.436,0.774,0.339,664023
2022,38,2,112,38,12,1,9,275,375,0.179,0.267,0.301,0.568,0.258,545358
2022,70,6,106,76,29,2,37,333,553,0.302,0.398,0.604,1.002,0.427,670541
2022,30,6,50,70,22,0,7,298,433,0.249,0.312,0.358,0.67,0.298,660688
2022,49,7,73,90,42,1,30,399,618,0.29,0.354,0.528,0.882,0.38,571448
2022,0,0,9,2,0,0,0,15,17,0.118,0.118,0.118,0.236,0.104,656252
2022,27,1,67,36,9,0,9,194,276,0.218,0.297,0.363,0.66,0.294,656976
2022,51,12,128,95,27,0,40,444,669,0.267,0.336,0.51,0.846,0.366,624413
2022,52,2,78,109,23,3,5,328,522,0.299,0.372,0.393,0.765,0.341,643217
2022,58,10,133,114,25,5,26,467,705,0.267,0.338,0.444,0.782,0.342,596019
2022,38,4,103,50,11,1,14,265,383,0.223,0.308,0.384,0.692,0.307,641933
2022,78,5,105,98,29,3,17,414,644,0.262,0.357,0.415,0.772,0.342,605137
2022,87,11,77,81,38,0,23,416,656,0.254,0.366,0.446,0.812,0.358,608324
2022,24,4,139,56,18,2,15,333,452,0.215,0.263,0.373,0.636,0.279,665120
2022,31,2,122,64,19,0,23,368,507,0.224,0.274,0.409,0.683,0.298,542303
2022,79,5,142,102,41,0,35,388,650,0.314,0.403,0.572,0.975,0.419,502671
2022,53,1,133,102,37,1,32,408,634,0.297,0.356,0.529,0.885,0.382,592518
2022,48,4,122,79,16,0,10,349,506,0.231,0.31,0.333,0.643,0.29,443558
2022,38,6,122,50,16,1,12,241,364,0.247,0.338,0.416,0.754,0.333,605204
2022,30,6,135,93,31,6,20,446,632,0.252,0.294,0.424,0.718,0.312,677951
2022,29,1,30,50,14,1,5,175,275,0.286,0.364,0.412,0.776,0.344,488726
2022,56,17,168,89,39,2,38,451,692,0.271,0.348,0.525,0.873,0.377,663586
2022,11,4,108,38,12,2,8,210,285,0.222,0.263,0.37,0.633,0.277,666176
2022,130,4,97,73,25,2,27,398,659,0.242,0.396,0.451,0.847,0.376,665742
2022,39,0,86,86,28,1,11,387,552,0.246,0.299,0.368,0.667,0.295,593160
2022,36,6,60,68,15,0,4,270,399,0.244,0.323,0.319,0.642,0.292,543592
2022,45,7,94,60,30,4,8,334,488,0.234,0.316,0.376,0.692,0.307,666185
2022,26,13,97,91,24,5,16,330,505,0.292,0.347,0.468,0.815,0.355,516782
2022,57,7,150,48,16,2,17,377,524,0.18,0.281,0.335,0.616,0.277,663757
2022,45,7,114,106,28,4,1,426,617,0.246,0.31,0.315,0.625,0.281,514917
2022,44,5,111,105,31,4,13,426,628,0.264,0.322,0.399,0.721,0.317,669242
2022,53,7,100,87,29,3,11,394,584,0.248,0.325,0.378,0.703,0.313,673490
2022,7,1,11,5,3,0,0,29,45,0.216,0.356,0.297,0.653,0.305,640449
2022,8,1,10,9,0,0,0,46,64,0.164,0.281,0.164,0.445,0.222,608671
2022,74,4,104,87,36,2,15,442,660,0.241,0.33,0.387,0.717,0.319,595777
2022,32,1,64,75,19,0,8,279,414,0.268,0.326,0.381,0.707,0.313,543333
2022,14,5,48,25,5,0,6,105,160,0.255,0.344,0.418,0.762,0.338,670712
2022,19,2,128,59,16,3,14,315,428,0.226,0.264,0.383,0.647,0.282,656308
2022,51,5,122,89,24,3,7,384,563,0.243,0.318,0.343,0.661,0.297,663647
2022,30,9,67,33,12,0,9,220,313,0.197,0.297,0.339,0.636,0.288,605170
2022,6,0,32,5,3,1,3,64,82,0.158,0.22,0.342,0.562,0.246,628338
2022,5,1,29,14,6,1,4,97,128,0.205,0.242,0.369,0.611,0.266,640458
2022,10,1,33,26,5,0,1,120,163,0.211,0.264,0.263,0.527,0.239,642180
2022,20,0,45,22,5,2,3,141,193,0.185,0.269,0.289,0.558,0.254,642165
2022,23,1,64,17,8,3,3,146,201,0.175,0.274,0.305,0.579,0.262,669450
2022,32,7,93,70,26,1,6,330,472,0.238,0.301,0.344,0.645,0.288,680911
2022,22,7,102,46,21,3,17,289,405,0.231,0.286,0.439,0.725,0.314,621438
2022,50,5,66,60,18,1,9,304,447,0.224,0.32,0.344,0.664,0.3,596146
2022,29,3,131,98,27,0,13,389,559,0.262,0.304,0.387,0.691,0.304,592206
2022,23,0,62,26,10,1,7,169,236,0.207,0.284,0.362,0.646,0.286,680777
2022,40,7,136,46,24,0,16,338,471,0.203,0.282,0.373,0.655,0.29,596142
2022,38,3,87,59,28,1,18,271,418,0.281,0.352,0.504,0.856,0.37,547180
2022,5,4,37,26,7,0,3,111,156,0.245,0.288,0.354,0.642,0.284,666135
2022,15,5,51,62,24,1,3,262,372,0.256,0.296,0.355,0.651,0.287,621563
2022,76,6,60,98,33,0,9,334,556,0.295,0.399,0.422,0.821,0.366,650490
2022,9,3,56,24,9,1,8,128,182,0.247,0.297,0.453,0.75,0.325,669394
2022,45,6,105,45,12,0,11,269,388,0.202,0.307,0.335,0.642,0.291,573131
2022,9,1,25,4,0,0,1,56,71,0.082,0.211,0.131,0.342,0.176,593934
2022,41,12,119,86,26,5,22,370,562,0.273,0.342,0.473,0.815,0.355,592663
2022,19,4,109,63,9,0,8,279,382,0.223,0.27,0.315,0.585,0.261,541645
2022,31,9,96,92,28,1,17,377,555,0.268,0.321,0.425,0.746,0.327,683734
2022,14,1,62,32,8,0,7,160,222,0.227,0.279,0.367,0.646,0.285,595281
2022,23,2,68,68,18,2,4,245,362,0.273,0.323,0.374,0.697,0.308,622534
2022,37,8,165,88,28,3,29,433,626,0.255,0.308,0.463,0.771,0.334,543068
2022,35,6,81,36,9,1,8,201,296,0.212,0.321,0.349,0.67,0.303,474832
2022,27,4,125,74,19,0,16,366,506,0.229,0.277,0.371,0.648,0.285,542583
2022,84,4,200,56,21,3,46,453,667,0.218,0.321,0.503,0.824,0.355,656941
2022,67,4,72,92,18,0,12,349,542,0.259,0.356,0.374,0.73,0.328,518934
2022,48,3,147,61,26,3,25,387,553,0.229,0.3,0.442,0.742,0.323,664913
2022,39,2,96,100,27,3,13,365,549,0.281,0.335,0.423,0.758,0.332,570482
2022,6,9,50,54,12,2,2,218,303,0.243,0.281,0.319,0.6,0.267,682928
2022,27,3,92,37,14,3,13,247,344,0.213,0.282,0.401,0.683,0.299,660821
2022,23,3,70,60,12,2,6,251,357,0.242,0.297,0.344,0.641,0.285,663837
2022,46,3,101,94,30,3,13,392,581,0.263,0.325,0.404,0.729,0.321,663898
2022,63,2,96,56,16,0,16,292,445,0.232,0.344,0.4,0.744,0.332,593871
2022,21,14,71,71,19,2,7,291,425,0.254,0.315,0.367,0.682,0.303,543281
2022,71,16,116,106,30,7,16,427,673,0.271,0.366,0.428,0.794,0.351,607043
2022,73,5,102,129,47,2,21,420,697,0.321,0.397,0.506,0.903,0.393,518692
2022,14,1,66,24,12,2,2,142,197,0.22,0.279,0.341,0.62,0.274,666139
2022,26,3,54,35,9,0,12,162,247,0.257,0.344,0.463,0.807,0.353,641584
2022,62,5,141,54,31,2,17,388,559,0.211,0.306,0.386,0.692,0.307,573262
2022,17,2,27,32,12,0,5,113,181,0.302,0.376,0.469,0.845,0.37,592178
2022,7,3,65,52,8,0,3,242,315,0.207,0.232,0.262,0.494,0.22,544725
2022,39,1,91,69,19,2,10,331,471,0.232,0.297,0.355,0.652,0.29,681082
2022,41,10,119,64,33,2,9,311,470,0.258,0.338,0.411,0.749,0.331,643265
2022,49,0,138,46,7,0,31,318,451,0.209,0.295,0.458,0.753,0.327,519317
2022,28,8,109,96,22,6,16,397,573,0.261,0.307,0.413,0.72,0.315,453568
2022,45,5,74,100,22,4,3,423,602,0.234,0.297,0.304,0.601,0.271,624428
2022,68,10,170,68,27,1,27,420,621,0.227,0.324,0.429,0.753,0.331,656305
2022,18,8,56,95,30,0,3,314,468,0.29,0.329,0.378,0.707,0.312,578428
2022,6,1,46,9,3,0,5,99,123,0.147,0.195,0.302,0.497,0.219,572287
2022,15,1,76,50,15,0,3,230,314,0.228,0.268,0.309,0.577,0.256,621512
2022,55,8,104,76,40,3,35,422,639,0.267,0.34,0.53,0.87,0.373,605141
2022,26,4,113,39,6,0,11,206,292,0.214,0.295,0.363,0.658,0.293,663698
2022,29,3,72,58,12,0,16,210,328,0.291,0.36,0.493,0.853,0.371,650391
2022,14,0,119,55,18,0,12,280,379,0.233,0.261,0.381,0.642,0.279,640461
2022,63,3,121,105,24,1,22,374,592,0.289,0.368,0.464,0.832,0.365,621043
2022,45,9,128,105,32,4,16,459,670,0.255,0.315,0.398,0.713,0.314,656775
2022,25,0,78,42,23,1,4,277,372,0.202,0.255,0.308,0.563,0.251,598265
2022,18,2,53,49,13,0,12,233,327,0.241,0.287,0.401,0.688,0.301,649557
2022,52,23,101,50,21,1,32,363,542,0.223,0.33,0.478,0.808,0.352,519203
2022,30,3,91,30,13,0,13,216,305,0.206,0.292,0.397,0.689,0.304,624585
2022,7,0,41,7,3,1,0,62,80,0.151,0.225,0.219,0.444,0.205,621453
2022,4,0,9,3,1,0,0,25,33,0.138,0.242,0.172,0.414,0.202,642721
2022,25,7,58,79,9,0,10,257,387,0.276,0.336,0.386,0.722,0.321,516416
2022,48,0,95,83,20,7,6,308,472,0.274,0.347,0.396,0.743,0.329,666158
2022,62,4,58,101,19,0,14,340,540,0.283,0.37,0.411,0.781,0.348,672386
2022,54,13,126,77,37,2,18,410,611,0.246,0.329,0.421,0.75,0.33,669221
2022,92,6,179,87,28,0,62,402,677,0.306,0.406,0.675,1.081,0.456,592450
2022,38,2,122,30,20,1,27,297,415,0.208,0.284,0.483,0.767,0.33,663728
2022,0,0,8,16,1,1,0,41,59,0.305,0.305,0.356,0.661,0.288,543829
2022,31,6,84,94,32,1,5,324,493,0.289,0.343,0.397,0.74,0.327,666971
2022,3,0,16,3,1,0,1,48,56,0.094,0.143,0.17,0.313,0.144,641856
2022,36,7,116,32,13,3,28,265,384,0.223,0.31,0.525,0.835,0.358,621439
2022,28,3,61,32,10,2,8,184,267,0.22,0.311,0.381,0.692,0.308,664040
2022,44,2,79,54,7,0,5,263,375,0.201,0.299,0.267,0.566,0.263,518735
2022,25,2,82,51,18,2,9,274,381,0.226,0.281,0.364,0.645,0.284,553869
2022,15,2,29,17,4,0,4,117,159,0.176,0.264,0.289,0.553,0.252,435559
2022,29,3,118,45,9,2,12,253,353,0.212,0.283,0.364,0.647,0.287,666915
2022,21,3,67,26,10,4,14,163,241,0.249,0.324,0.525,0.849,0.364,665862
2022,70,10,80,93,24,3,6,399,605,0.24,0.34,0.331,0.671,0.306,641487
2022,19,4,67,22,9,0,4,162,220,0.178,0.264,0.284,0.548,0.25,455139
2022,33,14,91,89,22,2,14,369,543,0.256,0.32,0.393,0.713,0.316,642731
2022,26,6,127,88,21,3,19,377,540,0.258,0.302,0.423,0.725,0.316,545341
2022,29,5,148,64,25,7,13,391,534,0.218,0.268,0.374,0.642,0.281,622761
2022,58,11,103,72,28,1,19,412,601,0.226,0.314,0.389,0.703,0.312,527038
2022,13,3,36,31,9,4,1,171,232,0.208,0.263,0.301,0.564,0.251,544369
2022,39,2,150,57,27,3,19,404,551,0.208,0.267,0.384,0.651,0.285,641355
2022,73,6,171,80,33,2,30,450,674,0.244,0.332,0.457,0.789,0.345,656555
2022,20,6,107,62,23,1,11,388,511,0.2,0.241,0.32,0.561,0.247,570731
2022,46,8,69,84,24,2,7,388,559,0.232,0.306,0.329,0.635,0.286,643393
2022,15,1,70,30,5,2,3,204,260,0.164,0.215,0.238,0.453,0.205,665506
2022,45,11,156,90,41,3,20,434,644,0.262,0.326,0.444,0.77,0.336,668227
2022,42,5,160,51,25,3,10,316,452,0.22,0.301,0.37,0.671,0.298,621035
2022,54,8,148,63,28,0,15,378,546,0.219,0.308,0.37,0.678,0.302,518626
2022,34,2,152,72,35,1,25,366,535,0.267,0.316,0.491,0.807,0.348,606192
2022,56,7,97,65,20,4,7,309,468,0.237,0.34,0.358,0.698,0.315,656582
2022,26,3,101,86,10,0,5,301,431,0.251,0.302,0.313,0.615,0.276,408234
2022,52,10,96,79,26,3,24,380,574,0.258,0.338,0.461,0.799,0.349,669257
2022,28,3,122,47,22,0,16,276,392,0.235,0.296,0.429,0.725,0.316,596115
2022,62,12,110,128,40,0,15,422,679,0.302,0.378,0.443,0.821,0.362,547989
2022,37,8,99,68,15,2,9,318,457,0.228,0.304,0.34,0.644,0.289,543063
2022,41,3,86,115,39,1,11,433,643,0.277,0.327,0.401,0.728,0.32,657077
2022,29,5,98,66,17,1,16,310,444,0.244,0.302,0.407,0.709,0.311,602104
2022,36,8,146,89,25,3,28,368,557,0.283,0.339,0.507,0.846,0.366,677594
2022,28,6,109,59,19,2,13,340,467,0.215,0.272,0.358,0.63,0.278,600869
2022,9,2,49,15,4,0,5,105,140,0.186,0.25,0.333,0.583,0.259,572039
2022,1,1,19,5,2,0,0,49,58,0.125,0.155,0.161,0.316,0.144,670351
2022,18,9,72,91,24,0,6,286,434,0.297,0.341,0.4,0.741,0.327,623912
2022,33,5,72,102,20,0,4,365,529,0.257,0.31,0.322,0.632,0.284,643396
2022,55,13,122,81,24,0,33,441,647,0.238,0.318,0.451,0.769,0.336,623993
2022,29,6,83,61,12,0,4,272,384,0.221,0.292,0.289,0.581,0.265,607732
2022,62,5,158,84,23,3,20,402,599,0.244,0.329,0.412,0.741,0.327,641857
2022,8,0,42,13,9,1,2,119,152,0.174,0.217,0.292,0.509,0.224,675656
