"year","BB","HBP","SO","X1B","X2B","X3B","HR","Outs","total_pas","ba","obp","slg","ops","woba","pitcher"
2023,55,12,210,122,38,2,25,571,825,0.247,0.308,0.401,0.709,0.309,656605
2023,49,5,152,123,30,1,22,533,763,0.248,0.301,0.386,0.687,0.301,645261
2023,48,7,222,110,26,1,20,608,820,0.205,0.259,0.32,0.579,0.256,543037
2023,56,11,169,52,15,0,18,381,533,0.182,0.285,0.33,0.615,0.277,660271
2023,100,3,237,78,22,0,15,527,745,0.179,0.293,0.283,0.576,0.266,605483
2023,31,5,195,143,34,4,20,613,850,0.247,0.279,0.372,0.651,0.283,657277
2023,45,4,173,76,22,0,28,445,620,0.221,0.282,0.406,0.688,0.298,453286
2023,41,8,139,145,50,5,26,587,862,0.278,0.319,0.448,0.767,0.33,571945
2023,52,3,119,84,27,0,9,400,575,0.231,0.304,0.335,0.639,0.286,573186
2023,48,5,220,121,42,3,22,606,847,0.237,0.285,0.38,0.665,0.289,668678
2023,47,3,144,86,25,2,15,443,621,0.224,0.287,0.354,0.641,0.282,593958
2023,35,3,108,79,29,2,14,371,533,0.251,0.304,0.402,0.706,0.307,669456
2023,41,0,121,57,20,3,15,333,469,0.222,0.29,0.388,0.678,0.295,663556
2023,66,8,200,99,19,1,22,569,784,0.199,0.274,0.321,0.595,0.266,669203
2023,4,0,19,8,6,1,4,58,81,0.247,0.284,0.506,0.79,0.332,608566
2023,78,9,215,112,32,9,19,524,783,0.247,0.331,0.401,0.732,0.321,656302
2023,57,10,201,107,37,3,19,575,808,0.224,0.288,0.359,0.647,0.285,664285
2023,56,9,79,59,17,2,15,254,412,0.268,0.383,0.458,0.841,0.369,666201
2023,58,4,124,142,34,1,33,519,791,0.288,0.344,0.473,0.817,0.352,571578
2023,47,9,234,121,26,5,24,567,799,0.237,0.29,0.382,0.672,0.293,641154
2023,47,8,152,55,33,4,19,331,497,0.251,0.334,0.473,0.807,0.347,668881
2023,24,4,95,106,25,2,25,406,592,0.28,0.314,0.465,0.779,0.334,425844
2023,21,4,42,34,16,2,17,163,257,0.297,0.366,0.603,0.969,0.407,446372
2023,56,6,158,127,43,5,23,549,809,0.265,0.321,0.428,0.749,0.325,502043
2023,25,6,118,59,28,1,24,339,482,0.248,0.297,0.475,0.772,0.329,628711
2023,57,5,220,91,36,5,28,582,804,0.216,0.276,0.391,0.667,0.289,622491
2023,4,0,45,8,7,2,2,92,115,0.171,0.2,0.324,0.524,0.223,594798
2023,47,1,199,108,35,3,32,566,792,0.239,0.285,0.423,0.708,0.305,605400
2023,38,3,56,73,22,1,16,218,371,0.339,0.412,0.558,0.97,0.415,666205
2023,19,2,80,55,8,0,7,221,312,0.241,0.292,0.34,0.632,0.28,608331
2023,10,1,15,8,3,0,2,50,74,0.206,0.324,0.349,0.673,0.304,593619
2023,5,2,52,44,6,1,13,175,246,0.268,0.289,0.464,0.753,0.321,656271
2023,28,7,57,22,7,0,6,136,206,0.205,0.34,0.351,0.691,0.314,676760
2023,29,4,65,40,8,0,5,169,255,0.239,0.337,0.342,0.679,0.307,623211
2023,19,3,56,30,9,0,3,174,238,0.194,0.269,0.278,0.547,0.248,518489
2023,14,4,43,57,13,1,11,175,275,0.319,0.364,0.506,0.87,0.374,541640
2023,7,1,12,13,3,0,3,38,65,0.333,0.415,0.544,0.959,0.413,622503
2023,13,1,25,18,4,2,5,83,126,0.259,0.341,0.464,0.805,0.348,641401
2023,13,0,22,6,2,0,3,70,94,0.136,0.255,0.272,0.527,0.243,666204
2023,32,4,81,41,11,1,4,192,285,0.229,0.326,0.329,0.655,0.297,663855
2023,32,1,84,36,5,1,8,193,276,0.206,0.301,0.333,0.634,0.285,625643
2023,27,2,111,23,3,0,4,180,239,0.143,0.247,0.214,0.461,0.219,642585
2023,16,1,52,14,6,1,1,106,145,0.172,0.269,0.258,0.527,0.243,664854
2023,8,1,24,15,6,0,6,70,106,0.278,0.34,0.526,0.866,0.368,672391
2023,13,3,39,19,4,1,2,103,145,0.202,0.29,0.295,0.585,0.266,445926
2023,20,0,28,14,4,0,4,70,112,0.239,0.375,0.413,0.788,0.351,607237
2023,27,3,53,13,4,1,6,117,171,0.17,0.316,0.34,0.656,0.298,675916
2023,31,3,43,54,16,0,6,193,303,0.283,0.363,0.409,0.772,0.341,669467
2023,21,4,48,55,10,0,5,172,267,0.289,0.356,0.393,0.749,0.332,543521
2023,28,2,99,29,14,3,6,197,279,0.209,0.294,0.361,0.655,0.289,518585
2023,22,1,63,44,11,0,11,197,286,0.251,0.311,0.418,0.729,0.317,640448
2023,26,2,71,46,15,0,8,190,287,0.266,0.338,0.417,0.755,0.331,668868
2023,14,4,34,25,5,1,4,93,146,0.273,0.363,0.422,0.785,0.346,642546
2023,13,0,47,17,7,1,6,116,160,0.211,0.275,0.395,0.67,0.29,605154
2023,23,3,75,18,16,1,4,172,237,0.185,0.274,0.327,0.601,0.268,664294
2023,22,4,44,46,10,2,4,152,240,0.29,0.367,0.411,0.778,0.343,666168
2023,8,2,7,2,5,0,0,26,43,0.212,0.395,0.364,0.759,0.349,677161
2023,14,1,45,31,6,2,7,132,193,0.258,0.316,0.433,0.749,0.324,592741
