batter,player_name,stand,p_throws,events,avg_launch_speed,avg_launch_angle,xba,woba,xwoba,iso,brl_pct
408234,"Cabrera, Miguel",R,L,37,91.044,6.28,0.3538,0.29864864864864865,0.3758,0.08108108108108109,0.08
408234,"Cabrera, Miguel",R,R,114,89.36125,8.9125,0.3006375,0.29912280701754385,0.323975,0.07894736842105263,0.05
443558,"Cruz, Nelson",R,L,76,90.89787234042554,9.702127659574469,0.3463191489361702,0.29539473684210527,0.40872340425531917,0.15789473684210525,0.0851063829787234
443558,"Cruz, Nelson",R,R,56,93.63888888888889,10.416666666666666,0.38166666666666665,0.3267857142857143,0.4315555555555556,0.17857142857142858,0.1111111111111111
444482,"Peralta, David",L,L,9,81.8,2,0.7108,0.4777777777777778,0.6736,0,0
444482,"Peralta, David",L,R,174,91.61824817518249,8.430656934306569,0.3436131386861314,0.3060344827586207,0.37276642335766424,0.1206896551724138,0.051094890510948905
446334,"Longoria, Evan",R,L,69,95.2,20.09090909090909,0.4147727272727273,0.4007246376811594,0.5228181818181818,0.2898550724637681,0.11363636363636363
446334,"Longoria, Evan",R,R,59,92.5,16.52777777777778,0.32672222222222225,0.30847457627118646,0.48719444444444443,0.288135593220339,0.19444444444444445
453568,"Blackmon, Charlie",L,L,63,82.23541666666667,16.479166666666668,0.3015,0.29365079365079366,0.3030833333333333,0.031746031746031744,0.041666666666666664
453568,"Blackmon, Charlie",L,R,179,87.53157894736842,20.902255639097746,0.2996766917293233,0.358659217877095,0.3418721804511278,0.17318435754189945,0.06766917293233082
455117,"Maldonado, Martín",R,L,35,84.07368421052631,7.842105263157895,0.3676315789473684,0.3028571428571429,0.41278947368421054,0.11428571428571428,0.05263157894736842
455117,"Maldonado, Martín",R,R,161,85.3021052631579,14.789473684210526,0.30228421052631577,0.24875776397515528,0.332,0.08074534161490683,0.05263157894736842
456781,"Solano, Donovan",R,L,76,88.17358490566038,15.471698113207546,0.38254716981132075,0.37105263157894736,0.41650943396226414,0.14473684210526316,0.05660377358490566
456781,"Solano, Donovan",R,R,131,92.175,12.8125,0.4225,0.3347328244274809,0.4340625,0.061068702290076333,0.0375
457705,"McCutchen, Andrew",R,L,90,89.39827586206897,18.67241379310345,0.28908620689655173,0.3611111111111111,0.33134482758620687,0.17777777777777778,0.05172413793103448
457705,"McCutchen, Andrew",R,R,178,89.89363636363636,10.454545454545455,0.3578545454545455,0.35308988764044946,0.4016636363636364,0.10112359550561797,0.06363636363636363
457759,"Turner, Justin",R,L,89,92.7703125,13.140625,0.368640625,0.4404494382022472,0.4870625,0.25842696629213485,0.140625
457759,"Turner, Justin",R,R,226,89.96923076923076,14.57396449704142,0.32512426035502956,0.3398230088495575,0.3583372781065089,0.11504424778761062,0.029585798816568046
458015,"Votto, Joey",L,L,3,103.2,24,0.5755,0.9,0.9279999999999999,1,0.5
458015,"Votto, Joey",L,R,13,92.25714285714285,23.428571428571427,0.3345714285714286,0.4846153846153846,0.5674285714285714,0.46153846153846156,0.2857142857142857
462101,"Andrus, Elvis",R,L,58,86.845,6.725,0.300425,0.22241379310344828,0.289275,0.017241379310344827,0
462101,"Andrus, Elvis",R,R,147,84.6651376146789,3.6272727272727274,0.2673211009174312,0.2615646258503401,0.2681009174311927,0.07482993197278912,0.01834862385321101
467793,"Santana, Carlos",L,R,208,88.2923611111111,15.458333333333334,0.29856944444444444,0.29903846153846153,0.31905555555555554,0.12980769230769232,0.041666666666666664
467793,"Santana, Carlos",R,L,73,88.06981132075472,6.169811320754717,0.29539622641509433,0.3445205479452055,0.2942264150943396,0.1095890410958904,0
474832,"Belt, Brandon",L,L,14,91.7,25.857142857142858,0.376,0.17857142857142858,0.3742857142857143,0,0
474832,"Belt, Brandon",L,R,174,89.46829268292683,17.79268292682927,0.36303658536585365,0.38045977011494253,0.4447926829268293,0.14942528735632185,0.12195121951219512
493329,"Gurriel, Yuli",R,L,56,87.63265306122449,19.877551020408163,0.2783265306122449,0.275,0.27655102040816326,0.03571428571428571,0
493329,"Gurriel, Yuli",R,R,134,88.38932038834952,18.388349514563107,0.2736504854368932,0.32723880597014926,0.28435922330097085,0.14925373134328357,0.019417475728155338
500743,"Rojas, Miguel",R,L,56,88.75111111111111,5.688888888888889,0.3174666666666667,0.28125,0.31851111111111113,0.017857142857142856,0
