pitcher,p_throws,stand,events,avg_launch_speed,avg_launch_angle,xba,woba,xwoba,iso,brl_pct
424144,L,L,5,88.58,5.8,0.27399999999999997,0.18,0.3738,0,0.2
424144,L,R,4,88.93333333333334,25.333333333333332,0.30366666666666664,0.5,0.501,0.75,0.3333333333333333
425794,R,L,27,84.775,8.05,0.3345,0.4444444444444445,0.41425,0.25925925925925924,0.15
425794,R,R,17,92.01111111111112,15.333333333333334,0.4721111111111111,0.21176470588235294,0.5385555555555556,0,0.1111111111111111
425844,R,L,23,87.56190476190476,8.476190476190476,0.35585714285714287,0.2326086956521739,0.35628571428571426,0.043478260869565216,0
425844,R,R,20,90.98333333333333,12.444444444444445,0.38816666666666666,0.305,0.4355,0,0.05555555555555555
434378,R,L,11,76.075,-5,0.4685,0.3318181818181818,0.6797500000000001,0.2727272727272727,0.25
434378,R,R,9,97.41666666666667,12,0.32283333333333336,0.31666666666666665,0.45283333333333337,0.1111111111111111,0.16666666666666666
445276,R,L,5,76.6,-12.666666666666666,0.319,0.32,0.29866666666666664,0,0
445276,R,R,8,85.6,29.2,0.317,0.225,0.3782,0,0
445926,R,L,2,104.55000000000001,27.5,0.716,1.625,1.324,2,1
445926,R,R,3,80.3,21,0.834,0.2333333333333333,0.788,0,0
446372,R,L,9,78.66,46,0.2596,0.25555555555555554,0.2562,0,0
446372,R,R,11,85.58333333333333,28,0.35033333333333333,0.2909090909090909,0.3458333333333333,0,0
448179,L,L,2,91.7,16,0.837,0.625,0.844,0.5,0
448179,L,R,17,88.07692307692308,27.923076923076923,0.21484615384615383,0.29411764705882354,0.225,0.11764705882352941,0.07692307692307693
448281,L,L,6,99.10000000000001,17.666666666666668,0.18366666666666667,0,0.227,0,0
448281,L,R,6,96.65,35.75,0.1265,0,0.14325000000000002,0,0
450203,R,L,24,82.1076923076923,15.153846153846153,0.31584615384615383,0.39375,0.3392307692307692,0.16666666666666666,0.07692307692307693
450203,R,R,23,89.26666666666667,14.833333333333334,0.32822222222222225,0.2956521739130435,0.3617222222222222,0.08695652173913043,0.05555555555555555
453178,R,L,5,96.2,27.25,0.24275,0.18,0.2675,0,0
453178,R,R,7,89.35,13.666666666666666,0.19383333333333333,0.22857142857142856,0.18716666666666668,0,0
453268,R,L,10,92.65,39.666666666666664,0.1815,0.325,0.32733333333333337,0.4,0.16666666666666666
453268,R,R,7,90.96000000000001,38.2,0.208,0.40714285714285714,0.2136,0.14285714285714285,0
453286,R,L,27,87.34705882352941,13.176470588235293,0.38182352941176473,0.2777777777777778,0.4738235294117647,0.1111111111111111,0.17647058823529413
453286,R,R,17,85.96666666666667,27.22222222222222,0.3363333333333333,0.2735294117647059,0.4098888888888889,0.058823529411764705,0.2222222222222222
453343,R,L,5,89.375,1,0.452,0.36,0.4245,0,0
453343,R,R,10,89.42222222222222,22.11111111111111,0.3448888888888889,0.375,0.42366666666666664,0.1,0.1111111111111111
455119,R,L,7,89.66666666666667,26.333333333333332,0.29033333333333333,0.22857142857142856,0.2693333333333333,0,0
455119,R,R,6,91.86,-11,0.3914,0.8416666666666667,0.5354,0.6666666666666666,0.2
456034,L,L,4,76.33333333333333,37.666666666666664,0.077,0.175,0.07766666666666666,0,0
