pitcher,p_throws,stand,events,avg_launch_speed,avg_launch_angle,xba,woba,xwoba,iso,brl_pct
425844,R,L,10,88.9,10.428571428571429,0.282,0.18,0.27685714285714286,0,0
425844,R,R,13,92.2090909090909,20.545454545454547,0.29463636363636364,0.45384615384615384,0.2887272727272727,0.15384615384615385,0
445276,R,L,2,96.8,0,0.391,0.35,0.352,0,0
445276,R,R,3,73,31,0.58,0.3,0.528,0,0
445926,R,L,3,88.96666666666667,-2.3333333333333335,0.25933333333333336,0.3,0.24633333333333335,0,0
445926,R,R,3,75.30000000000001,-12,0.4585,0.3,0.4255,0,0
446372,R,L,11,91.08,19.4,0.6434,0.6818181818181818,0.8008000000000001,0.45454545454545453,0.2
446372,R,R,8,89.38333333333334,9.5,0.43316666666666664,0.45,0.5295,0.375,0.16666666666666666
448179,L,L,2,93.4,-18,0.106,0,0.095,0,0
448179,L,R,18,93.97,26.7,0.3857,0.36944444444444446,0.5769,0.3888888888888889,0.2
453286,R,L,8,88.4,14,0.18428571428571427,0.26875,0.18114285714285713,0.125,0
453286,R,R,14,93.91428571428571,26.142857142857142,0.29542857142857143,0.33214285714285713,0.4782857142857143,0.2857142857142857,0.2857142857142857
455119,R,L,4,86.375,8.75,0.42075,0.45,0.41775,0,0
455119,R,R,4,103.44999999999999,1.5,0.387,0.175,0.4235,0,0
456713,R,R,3,77.13333333333333,-18,0.3526666666666667,0,0.33166666666666667,0,0
458681,R,L,6,92.43333333333334,26,0.458,0.45,0.8036666666666668,0.5,0.3333333333333333
458681,R,R,17,88.31111111111112,24.88888888888889,0.371,0.27058823529411763,0.3884444444444444,0,0
472610,R,L,2,84.8,50,0.006,0,0.005,0,0
472610,R,R,3,98.7,-12,0.271,0.5333333333333333,0.28,0,0
476595,L,L,2,86.85,-15,0.10999999999999999,0,0.099,0,0
476595,L,R,3,94.76666666666667,-3.3333333333333335,0.29533333333333334,0.6,0.277,0,0
477132,L,L,4,94.26666666666667,8.666666666666666,0.4656666666666667,0,0.476,0,0
477132,L,R,17,91.16666666666667,4.555555555555555,0.4741111111111111,0.29705882352941176,0.544,0.23529411764705882,0.1111111111111111
488984,R,L,1,57.4,-72,0.166,0,0.149,0,0
488984,R,R,6,96.18333333333334,5.166666666666667,0.2675,0.15,0.3426666666666667,0,0.16666666666666666
489446,R,L,4,95.25,31.5,0.35350000000000004,0.5,0.5845,0.75,0.25
493603,R,L,2,NA,NA,NA,0,NA,0,NA
493603,R,R,3,98.16666666666667,16.333333333333332,0.28833333333333333,0.6,0.27899999999999997,0,0
502043,R,L,12,93.8,8.555555555555555,0.3937777777777778,0.5041666666666667,0.4666666666666667,0.25,0.1111111111111111
502043,R,R,9,88.27142857142857,9.857142857142858,0.3344285714285714,0.2,0.42228571428571426,0,0.14285714285714285
502085,R,L,2,86.5,1,0.309,0.45,0.31,0,0
502085,R,R,4,92,23,0.146,0,0.139,0,0
502171,R,L,4,76.19999999999999,-43.5,0.183,0.4,0.1745,0,0
502171,R,R,13,91.075,4.5,0.32225,0.36153846153846153,0.333625,0.23076923076923078,0.125
502202,R,L,2,NA,NA,NA,0.35,NA,0,NA
502202,R,R,1,91.3,-12,0.1,0,0.09,0,0
518489,R,L,4,98,16,0.5155000000000001,0.575,0.537,0,0
518489,R,R,3,93.5,-18,0.2975,0.5333333333333333,0.2815,0,0
518516,L,L,5,81.53333333333333,-5,0.08666666666666667,0.45999999999999996,0.07933333333333334,0,0
518516,L,R,16,86.41,19.8,0.345,0.390625,0.4616,0.25,0.2
518585,R,L,3,70.1,-14,0.051,0.4666666666666666,0.051,0,0
518585,R,R,1,NA,NA,NA,0.7,NA,0,NA
518617,L,L,2,98.1,29,0.434,0.975,0.748,0.5,1
518617,L,R,1,106.3,5,0.606,0,0.606,0,0
518876,R,L,8,95.66,-2.8,0.4612,0.3125,0.496,0,0.2
518876,R,R,9,96.475,23.25,0.518,0.37222222222222223,0.71325,0.1111111111111111,0.25
518886,R,L,1,NA,NA,NA,0.7,NA,0,NA
518886,R,R,3,72.4,-38,0.097,0.65,0.087,0.3333333333333333,0
519151,R,L,2,95.2,34,0.1,0,0.189,0,0
519151,R,R,4,103.7,20,0.429,0.7125,0.41133333333333333,0.25,0
519242,L,L,4,105.15,21.5,0.7315,0.9,1.083,0.75,0.5
519242,L,R,15,91.4875,-6.625,0.477125,0.54,0.696,0.4,0.25
523260,R,L,1,102.9,19,0.483,0.9,0.65,0,0
523260,R,R,4,78.93333333333334,14.666666666666666,0.20600000000000002,0.225,0.213,0,0
541640,R,L,3,99.03333333333333,7,0.2763333333333333,0.3,0.3243333333333333,0,0
541640,R,R,6,92.375,-19,0.13825,0.4166666666666667,0.1285,0,0
542585,R,L,3,81,58,0.034,0.2333333333333333,0.037,0,0
542585,R,R,1,79.9,6,0.3,0,0.283,0,0
542914,R,R,3,88.65,-1,0.243,0.5333333333333333,0.22899999999999998,0,0
543037,R,L,15,88.72,8.4,0.33440000000000003,0.10666666666666666,0.3168,0,0
543037,R,R,7,96.025,-4,0.4685,0.35714285714285715,0.47125,0,0
543056,L,L,3,80.75,-10.5,0.1575,0,0.1525,0,0
543056,L,R,1,NA,NA,NA,0.7,NA,0,NA
543135,R,L,12,94.94285714285715,23.428571428571427,0.3542857142857143,0.3416666666666667,0.37985714285714284,0.16666666666666666,0
543135,R,R,10,88.7,0.5714285714285714,0.33514285714285713,0.445,0.308,0.3,0
543243,R,L,10,98.04285714285714,3.857142857142857,0.4818571428571429,0.39,0.4747142857142857,0,0
543243,R,R,12,92.81,21.7,0.3075,0.2375,0.347,0.08333333333333333,0.1
543272,L,L,2,NA,NA,NA,0.35,NA,0,NA
543272,L,R,3,59.266666666666666,24.333333333333332,0.3973333333333333,0.3,0.361,0,0
543281,R,L,3,84.4,11.5,0.5555,0.8333333333333334,0.5235000000000001,0,0
543281,R,R,2,97.75,17.5,0.447,0,0.4685,0,0
543475,R,L,10,94.54285714285714,31.857142857142858,0.21957142857142858,0.06999999999999999,0.2735714285714286,0,0
543475,R,R,13,90.425,20.25,0.5205,0.49615384615384617,0.5281666666666667,0.07692307692307693,0.08333333333333333
543507,R,R,4,99,23,0.40399999999999997,0.225,0.431,0,0
543518,R,L,1,NA,NA,NA,0.7,NA,0,NA
543518,R,R,2,98.7,9,0.626,0.35,0.584,0,0
543521,R,L,5,99.73333333333333,-2.6666666666666665,0.21066666666666667,0.27999999999999997,0.20766666666666667,0,0
543521,R,R,2,84.4,45,0.011,0,0.01,0,0
544727,R,L,1,100.9,-7,0.234,0,0.211,0,0
544727,R,R,2,84,-4.5,0.181,0,0.1825,0,0
547973,L,L,1,NA,NA,NA,0,NA,0,NA
547973,L,R,2,NA,NA,NA,0,NA,0,NA
548384,L,L,2,86.3,0,0.251,0,0.234,0,0
548384,L,R,2,62.2,-12,0.066,0,0.065,0,0
554340,R,L,1,NA,NA,NA,0.7,NA,0,NA
554340,R,R,5,80.60000000000001,20.8,0.3572,0.5,0.4024,0.4,0.2
554430,R,L,12,88.08888888888889,7,0.2708888888888889,0.32916666666666666,0.27255555555555555,0.08333333333333333,0
554430,R,R,10,92.62,12.8,0.5434,0.54,0.5357999999999999,0.3,0
570632,R,L,10,91.65714285714286,-1,0.6125714285714285,0.55,0.583,0.2,0
570632,R,R,6,98.08,32,0.3742,0.6,0.5872,0.5,0.2
571479,R,L,5,93.16666666666667,4.333333333333333,0.21333333333333335,0.13999999999999999,0.242,0,0
571479,R,R,3,99,15.5,0.3355,0.3,0.3345,0,0
571578,L,L,5,105.23333333333333,16.666666666666668,0.5543333333333333,0.43,1.0636666666666668,0.2,0.6666666666666666
571578,L,R,15,85.82727272727273,-12.181818181818182,0.37881818181818183,0.5,0.41354545454545455,0,0.09090909090909091
571656,R,L,5,96.80000000000001,17,0.223,0.13999999999999999,0.215,0,0
571656,R,R,4,72.375,61,0.07300000000000001,0.0625,0.0665,0,0
571670,R,L,3,80.53333333333333,28.333333333333332,0.07733333333333334,0.4166666666666667,0.08066666666666666,0.3333333333333333,0
571670,R,R,1,98.2,14,0.889,0,0.848,0,0
571882,R,L,4,81.23333333333333,43.333333333333336,0.051,0,0.04566666666666667,0,0
571882,R,R,2,93.9,11.5,0.6825,0.45,0.659,0,0
571901,L,L,1,98.2,24,0.377,1.25,0.573,1,0
571901,L,R,2,96.5,-14,0.226,0.45,0.209,0,0
571945,R,L,6,100.96666666666667,26,0.36966666666666664,0.20833333333333334,0.381,0.16666666666666666,0
571945,R,R,15,88.32727272727273,14.636363636363637,0.6245454545454545,0.61,0.6888181818181819,0.06666666666666667,0.09090909090909091
571946,R,L,2,94.1,34,0.086,0,0.164,0,0
571946,R,R,1,99,25,0.466,0,0.738,0,1
572193,R,L,1,109,5,0.629,0.9,0.569,0,0
572193,R,R,2,94.7,6,0.607,0.45,0.5705,0,0
572403,R,L,1,85.1,-14,0.091,0,0.082,0,0
572403,R,R,5,92.95,-12.5,0.3155,0.18,0.298,0,0
572955,R,L,2,NA,NA,NA,0,NA,0,NA
572955,R,R,2,77.8,29.5,0.113,0.45,0.10550000000000001,0,0
573124,L,R,4,89.375,29,0.32575,0.5,0.464,0.75,0.25
573186,R,L,13,78.74285714285715,-19.428571428571427,0.20985714285714285,0.1769230769230769,0.197,0,0
573186,R,R,10,98.38,16.8,0.4498,0.25,0.4278,0,0
573204,L,L,4,79.69999999999999,58,0.0545,0,0.064,0,0
573204,L,R,3,102,15,0.671,0.3,0.665,0,0
592094,R,L,2,83.4,-29,0.043,0.35,0.039,0,0
592094,R,R,2,69.85,35.5,0.094,0,0.1005,0,0
592332,R,L,12,92.57777777777778,5.666666666666667,0.21566666666666667,0.2833333333333333,0.2558888888888889,0,0
592332,R,R,15,91.17,13.4,0.5042,0.36,0.4852,0,0
592662,L,L,7,64.33333333333333,0,0.31333333333333335,0.40714285714285714,0.30666666666666664,0.14285714285714285,0
592662,L,R,12,90.2375,13.375,0.2115,0.3833333333333333,0.231,0,0
592741,L,L,1,NA,NA,NA,0,NA,0,NA
592741,L,R,3,81,7,0.334,0.2333333333333333,0.301,0,0
592773,R,L,3,94.36666666666666,-3,0.14566666666666667,0.3,0.136,0,0
592773,R,R,4,105.3,6,0.4285,0.175,0.5015000000000001,0,0
593576,R,L,4,96.85,0,0.3675,0.625,0.347,0,0
593576,R,R,9,78.2,12.5,0.20400000000000001,0.2777777777777778,0.1896,0,0
593619,R,L,3,106.9,-2,0.463,0.4166666666666667,0.417,0.3333333333333333,0
593619,R,R,7,96.72,-3.6,0.512,0.8785714285714286,0.665,1,0.4
593958,L,L,2,NA,NA,NA,0.35,NA,0,NA
593958,L,R,19,88.53571428571429,23.5,0.2925714285714286,0.23684210526315788,0.37392857142857144,0.15789473684210525,0.14285714285714285
593974,L,L,4,NA,NA,NA,0.175,NA,0,NA
593974,L,R,3,108.9,11,0.954,0.3,0.971,0,0
594580,L,L,1,NA,NA,NA,0.7,NA,0,NA
594580,L,R,2,101.65,-15,0.19,0,0.17099999999999999,0,0
594798,R,L,9,88.94,35.2,0.1976,0.17777777777777778,0.251,0.2222222222222222,0.2
594798,R,R,8,82.7,17.8,0.5966,0.91875,0.7298,1,0.2
595928,R,L,1,111.6,26,0.999,2,2.026,3,1
595928,R,R,3,93.8,40.333333333333336,0.04933333333333333,0,0.094,0,0
596001,R,L,2,101.44999999999999,7.5,0.5015000000000001,0.625,0.5815,0.5,0.5
596001,R,R,8,76.88333333333333,10,0.282,0.26875,0.2876666666666667,0.125,0
598264,R,L,4,97.16666666666667,-1.3333333333333333,0.14666666666666667,0.225,0.13833333333333334,0,0
600917,R,L,2,87.6,71,0.003,0.35,0.003,0,0
600917,R,R,3,69.80000000000001,42,0.44699999999999995,0.3,0.40800000000000003,0,0
605154,R,L,3,99.8,37,0.266,0,0.556,0,0
605154,R,R,6,92.3,25.2,0.4816,0.45,0.4696,0,0
605177,L,L,2,80.45,22.5,0.11699999999999999,0,0.11449999999999999,0,0
605177,L,R,1,63.6,-59,0.28,0,0.252,0,0
605242,R,L,3,NA,NA,NA,0,NA,0,NA
605242,R,R,4,83.9,17.333333333333332,0.45033333333333336,0.625,0.41433333333333333,0,0
605280,R,L,3,93.3,12.666666666666666,0.6266666666666667,1.0166666666666666,0.641,0.3333333333333333,0
